bikeid,ride_count(次),total_distance(km),avg_distance(km),total_duration(min),avg_duration(min)
99740,1,1.29,1.29,10.0,10.0
99747,1,2.4,2.4,50.0,50.0
99750,1,0.65,0.65,12.0,12.0
99751,1,0.4,0.4,79.0,79.0
99752,1,1.92,1.92,21.0,21.0
99754,2,1.35,0.68,83.0,41.5
99757,1,1.24,1.24,10.0,10.0
99765,2,5.38,2.69,41.0,20.5
99768,1,1.01,1.01,7.0,7.0
99772,1,0.4,0.4,5.0,5.0
99776,1,0.97,0.97,9.0,9.0
99783,1,2.44,2.44,28.0,28.0
99784,1,1.21,1.21,34.0,34.0
99788,1,6.08,6.08,36.0,36.0
99789,1,0.15,0.15,45.0,45.0
99791,2,1.99,1.0,37.0,18.5
99793,3,3.78,1.26,102.0,34.0
99794,1,0.59,0.59,7.0,7.0
99795,1,0.36,0.36,6.0,6.0
99803,1,2.76,2.76,19.0,19.0
99804,1,4.77,4.77,31.0,31.0
99806,1,1.49,1.49,17.0,17.0
99812,1,0.24,0.24,24.0,24.0
99816,1,0.58,0.58,7.0,7.0
99821,1,0.49,0.49,4.0,4.0
99822,1,1.68,1.68,9.0,9.0
99828,1,0.91,0.91,7.0,7.0
99837,2,2.64,1.32,20.0,10.0
99841,1,1.01,1.01,11.0,11.0
99844,2,3.92,1.96,22.0,11.0
99845,1,0.58,0.58,6.0,6.0
99859,1,1.15,1.15,7.0,7.0
99865,1,0.56,0.56,7.0,7.0
99868,1,0.92,0.92,6.0,6.0
99870,1,1.76,1.76,18.0,18.0
99872,1,0.94,0.94,6.0,6.0
99875,1,0.58,0.58,22.0,22.0
99877,1,3.06,3.06,25.0,25.0
99883,1,2.02,2.02,11.0,11.0
99891,1,0.72,0.72,27.0,27.0
99901,2,1.92,0.96,15.0,7.5
99906,2,1.77,0.88,25.0,12.5
99913,1,0.86,0.86,10.0,10.0
99914,1,1.52,1.52,16.0,16.0
99918,1,2.7,2.7,25.0,25.0
99926,1,0.72,0.72,17.0,17.0
99935,2,2.2,1.1,18.0,9.0
99936,2,5.04,2.52,41.0,20.5
99952,1,4.91,4.91,37.0,37.0
99953,1,0.88,0.88,8.0,8.0
99960,3,2.66,0.89,19.0,6.33
99961,1,1.15,1.15,9.0,9.0
99966,1,1.49,1.49,31.0,31.0
99968,1,1.46,1.46,15.0,15.0
99972,2,1.28,0.64,8.0,4.0
99975,4,3.58,0.89,202.0,50.5
99977,1,1.11,1.11,9.0,9.0
99979,1,2.45,2.45,37.0,37.0
99982,1,1.23,1.23,20.0,20.0
99989,2,1.44,0.72,166.0,83.0
99992,1,1.15,1.15,10.0,10.0
99996,3,2.22,0.74,18.0,6.0
99998,1,4.39,4.39,35.0,35.0
100002,1,0.93,0.93,7.0,7.0
100007,1,0.77,0.77,7.0,7.0
100014,1,1.16,1.16,8.0,8.0
100018,1,1.52,1.52,12.0,12.0
100019,1,1.04,1.04,7.0,7.0
100021,1,0.97,0.97,6.0,6.0
100025,1,1.16,1.16,10.0,10.0
100029,1,0.78,0.78,7.0,7.0
100031,1,2.17,2.17,23.0,23.0
100035,1,1.66,1.66,11.0,11.0
100044,1,2.21,2.21,12.0,12.0
100045,3,5.27,1.76,46.0,15.33
100046,2,4.91,2.46,42.0,21.0
100047,1,8.22,8.22,67.0,67.0
100049,2,3.86,1.93,30.0,15.0
100051,1,1.71,1.71,14.0,14.0
100052,3,3.5,1.17,28.0,9.33
100060,2,1.14,0.57,8.0,4.0
100062,4,2.93,0.73,43.0,10.75
100065,1,3.84,3.84,29.0,29.0
100067,1,6.6,6.6,54.0,54.0
100069,2,2.85,1.42,45.0,22.5
100077,1,0.88,0.88,6.0,6.0
100083,1,1.1,1.1,25.0,25.0
100085,1,2.6,2.6,16.0,16.0
100086,1,1.74,1.74,20.0,20.0
100099,2,1.46,0.73,12.0,6.0
100108,4,4.18,1.04,31.0,7.75
100110,1,0.94,0.94,7.0,7.0
100113,2,1.81,0.9,23.0,11.5
100115,1,2.4,2.4,15.0,15.0
100120,1,0.69,0.69,9.0,9.0
100126,2,1.28,0.64,9.0,4.5
100137,1,0.78,0.78,6.0,6.0
100141,1,0.8,0.8,13.0,13.0
100142,2,2.54,1.27,19.0,9.5
100152,3,2.13,0.71,19.0,6.33
100159,1,0.45,0.45,4.0,4.0
100162,2,3.09,1.55,25.0,12.5
