bikeid,ride_count(次),total_distance(km),avg_distance(km),total_duration(min),avg_duration(min)
148390,2,1.28,0.64,8.0,4.0
148404,1,0.77,0.77,7.0,7.0
148405,1,0.8,0.8,61.0,61.0
148411,1,2.2,2.2,17.0,17.0
148417,1,1.34,1.34,12.0,12.0
148419,1,3.58,3.58,21.0,21.0
148420,1,2.1,2.1,21.0,21.0
148422,3,2.46,0.82,32.0,10.67
148434,1,1.95,1.95,16.0,16.0
148435,1,0.89,0.89,12.0,12.0
148440,1,1.3,1.3,9.0,9.0
148441,1,1.71,1.71,13.0,13.0
148445,2,3.09,1.55,20.0,10.0
148459,1,0.4,0.4,2.0,2.0
148460,1,2.49,2.49,21.0,21.0
148462,2,3.24,1.62,35.0,17.5
148463,1,1.34,1.34,13.0,13.0
148466,1,0.45,0.45,6.0,6.0
148470,1,0.59,0.59,4.0,4.0
148471,1,1.4,1.4,12.0,12.0
148478,1,0.86,0.86,18.0,18.0
148479,1,0.4,0.4,3.0,3.0
148481,1,6.79,6.79,53.0,53.0
148482,2,6.44,3.22,57.0,28.5
148491,1,0.69,0.69,4.0,4.0
148492,1,1.05,1.05,8.0,8.0
148495,1,2.25,2.25,17.0,17.0
148499,1,0.67,0.67,101.0,101.0
148501,1,0.53,0.53,5.0,5.0
148503,1,1.44,1.44,14.0,14.0
148505,1,0.8,0.8,8.0,8.0
148513,1,0.78,0.78,11.0,11.0
148517,1,1.13,1.13,13.0,13.0
148518,1,3.12,3.12,26.0,26.0
148519,1,1.46,1.46,11.0,11.0
148520,1,2.75,2.75,16.0,16.0
148523,2,2.45,1.22,23.0,11.5
148530,2,1.48,0.74,38.0,19.0
148539,1,0.62,0.62,23.0,23.0
148547,1,0.83,0.83,12.0,12.0
148550,1,1.55,1.55,15.0,15.0
148552,1,0.24,0.24,2.0,2.0
148553,1,1.54,1.54,15.0,15.0
148556,1,0.91,0.91,41.0,41.0
148557,1,0.5,0.5,6.0,6.0
148559,2,3.37,1.68,57.0,28.5
148563,2,3.24,1.62,39.0,19.5
148564,1,1.34,1.34,8.0,8.0
148566,1,1.69,1.69,29.0,29.0
148571,3,3.9,1.3,26.0,8.67
148575,1,0.67,0.67,6.0,6.0
148576,1,1.58,1.58,14.0,14.0
148580,2,3.63,1.82,32.0,16.0
148586,2,14.58,7.29,115.0,57.5
148587,1,1.35,1.35,44.0,44.0
148588,1,0.24,0.24,17.0,17.0
148600,1,1.11,1.11,11.0,11.0
148604,3,3.05,1.02,43.0,14.33
148606,1,2.26,2.26,18.0,18.0
148609,1,0.92,0.92,12.0,12.0
148616,1,3.55,3.55,27.0,27.0
148620,1,2.03,2.03,18.0,18.0
148624,1,0.58,0.58,8.0,8.0
148628,3,4.64,1.55,58.0,19.33
148633,2,3.28,1.64,27.0,13.5
148634,1,1.35,1.35,12.0,12.0
148639,2,3.02,1.51,28.0,14.0
148640,1,0.89,0.89,6.0,6.0
148641,1,0.67,0.67,5.0,5.0
148644,1,1.74,1.74,59.0,59.0
148648,1,1.18,1.18,9.0,9.0
148649,2,2.37,1.18,37.0,18.5
148656,1,0.5,0.5,4.0,4.0
148658,2,11.14,5.57,79.0,39.5
148662,1,1.58,1.58,11.0,11.0
148663,1,1.66,1.66,15.0,15.0
148671,2,3.23,1.62,26.0,13.0
148672,1,0.83,0.83,11.0,11.0
148678,2,2.04,1.02,18.0,9.0
148680,2,4.61,2.31,34.0,17.0
148681,1,0.24,0.24,4.0,4.0
148683,1,5.58,5.58,61.0,61.0
148688,1,0.58,0.58,29.0,29.0
148689,2,0.99,0.5,9.0,4.5
148694,1,1.96,1.96,19.0,19.0
148718,1,0.82,0.82,8.0,8.0
148719,1,0.78,0.78,40.0,40.0
148723,1,1.35,1.35,11.0,11.0
148727,1,2.35,2.35,18.0,18.0
148728,2,1.82,0.91,23.0,11.5
148729,1,2.16,2.16,20.0,20.0
148732,1,0.31,0.31,18.0,18.0
148736,1,0.7,0.7,8.0,8.0
148737,2,1.96,0.98,17.0,8.5
148742,1,0.65,0.65,4.0,4.0
148744,1,1.32,1.32,10.0,10.0
148747,2,2.27,1.14,25.0,12.5
148748,1,0.89,0.89,8.0,8.0
148750,1,1.96,1.96,22.0,22.0
148751,1,0.44,0.44,4.0,4.0
148758,1,1.0,1.0,16.0,16.0
148760,1,5.72,5.72,40.0,40.0
148761,1,1.78,1.78,18.0,18.0
148766,2,1.64,0.82,13.0,6.5
148769,1,0.67,0.67,6.0,6.0
148770,1,1.22,1.22,12.0,12.0
148772,1,3.38,3.38,21.0,21.0
148775,1,0.83,0.83,7.0,7.0
148778,1,0.67,0.67,4.0,4.0
148781,2,0.6,0.3,8.0,4.0
148785,1,0.36,0.36,2.0,2.0
148790,1,7.08,7.08,38.0,38.0
148794,2,4.55,2.28,34.0,17.0
148795,1,1.75,1.75,11.0,11.0
148805,1,0.8,0.8,7.0,7.0
148809,1,1.65,1.65,12.0,12.0
148814,1,1.37,1.37,15.0,15.0
148815,1,0.91,0.91,9.0,9.0
148816,2,1.96,0.98,15.0,7.5
148818,1,7.69,7.69,58.0,58.0
148819,2,2.79,1.39,23.0,11.5
148828,1,1.83,1.83,17.0,17.0
148830,1,2.86,2.86,20.0,20.0
148836,1,0.45,0.45,4.0,4.0
148839,1,4.7,4.7,29.0,29.0
148841,1,1.27,1.27,21.0,21.0
148842,1,2.28,2.28,14.0,14.0
148850,1,0.92,0.92,9.0,9.0
148859,3,6.21,2.07,48.0,16.0
148864,1,7.88,7.88,58.0,58.0
148865,1,0.22,0.22,8.0,8.0
148866,3,2.96,0.99,22.0,7.33
148871,2,4.28,2.14,26.0,13.0
148876,2,3.64,1.82,33.0,16.5
148878,1,0.22,0.22,7.0,7.0
148879,2,7.4,3.7,55.0,27.5
148892,1,1.07,1.07,12.0,12.0
148897,1,0.52,0.52,5.0,5.0
148900,1,0.88,0.88,9.0,9.0
148902,1,0.88,0.88,20.0,20.0
148911,2,2.89,1.44,32.0,16.0
148915,1,0.94,0.94,52.0,52.0
148916,1,2.76,2.76,29.0,29.0
148922,1,1.15,1.15,9.0,9.0
148929,2,1.91,0.95,25.0,12.5
148930,1,1.34,1.34,10.0,10.0
148939,1,4.34,4.34,24.0,24.0
148942,1,0.96,0.96,9.0,9.0
148947,2,1.41,0.7,64.0,32.0
148949,2,7.59,3.8,41.0,20.5
148950,2,1.23,0.62,13.0,6.5
148953,2,4.42,2.21,49.0,24.5
148957,1,1.4,1.4,12.0,12.0
148961,1,0.48,0.48,2.0,2.0
148964,1,4.48,4.48,29.0,29.0
148971,1,0.67,0.67,5.0,5.0
148973,1,2.67,2.67,29.0,29.0
148975,1,1.75,1.75,16.0,16.0
148977,1,2.48,2.48,21.0,21.0
148978,1,3.05,3.05,30.0,30.0
148992,1,2.14,2.14,16.0,16.0
148997,2,2.34,1.17,20.0,10.0
149000,2,2.7,1.35,22.0,11.0
149008,2,2.85,1.43,31.0,15.5
149015,1,0.96,0.96,22.0,22.0
149016,1,1.02,1.02,14.0,14.0
149020,1,0.4,0.4,3.0,3.0
149028,1,1.95,1.95,18.0,18.0
149030,1,0.86,0.86,5.0,5.0
149032,1,1.28,1.28,11.0,11.0
149034,3,12.07,4.02,89.0,29.67
149035,1,1.34,1.34,37.0,37.0
149043,1,1.46,1.46,19.0,19.0
149047,1,0.15,0.15,38.0,38.0
149051,1,1.93,1.93,13.0,13.0
149056,1,1.23,1.23,11.0,11.0
149058,1,1.59,1.59,12.0,12.0
149060,1,0.56,0.56,6.0,6.0
149069,1,0.67,0.67,22.0,22.0
149070,1,0.8,0.8,7.0,7.0
149071,1,0.82,0.82,5.0,5.0
149072,1,0.77,0.77,4.0,4.0
149073,1,4.06,4.06,29.0,29.0
149085,1,0.77,0.77,9.0,9.0
149086,2,3.52,1.76,30.0,15.0
149090,1,1.71,1.71,11.0,11.0
149097,1,1.82,1.82,18.0,18.0
149100,1,0.83,0.83,8.0,8.0
149106,1,1.05,1.05,10.0,10.0
149107,1,5.91,5.91,56.0,56.0
149109,1,0.69,0.69,6.0,6.0
149115,3,2.65,0.88,22.0,7.33
149116,2,1.37,0.68,9.0,4.5
149117,1,2.06,2.06,93.0,93.0
149118,1,0.92,0.92,10.0,10.0
149121,1,1.38,1.38,7.0,7.0
149124,2,2.61,1.3,19.0,9.5
149125,1,2.8,2.8,39.0,39.0
149133,1,1.11,1.11,12.0,12.0
149134,1,3.93,3.93,35.0,35.0
149137,2,0.65,0.33,9.0,4.5
149139,1,0.31,0.31,51.0,51.0
149141,1,1.4,1.4,12.0,12.0
149144,1,0.94,0.94,9.0,9.0
149145,1,0.67,0.67,4.0,4.0
149148,1,0.94,0.94,9.0,9.0
149150,1,1.95,1.95,13.0,13.0
149154,1,4.7,4.7,37.0,37.0
149158,1,3.9,3.9,23.0,23.0
149162,1,1.17,1.17,11.0,11.0
149165,2,1.63,0.82,14.0,7.0
149175,1,1.86,1.86,11.0,11.0
149180,2,1.2,0.6,24.0,12.0
149186,2,6.79,3.4,48.0,24.0
149187,2,4.72,2.36,41.0,20.5
149191,2,2.21,1.11,11.0,5.5
149193,1,1.59,1.59,26.0,26.0
149194,1,0.35,0.35,6.0,6.0
149196,1,0.44,0.44,3.0,3.0
149202,2,3.97,1.99,24.0,12.0
149203,1,0.29,0.29,3.0,3.0
149205,2,2.97,1.49,27.0,13.5
149212,1,0.78,0.78,6.0,6.0
149224,1,2.4,2.4,16.0,16.0
149227,1,0.91,0.91,7.0,7.0
149233,1,0.73,0.73,7.0,7.0
149238,1,1.55,1.55,9.0,9.0
149241,1,1.24,1.24,9.0,9.0
149242,1,0.15,0.15,51.0,51.0
149244,1,0.8,0.8,6.0,6.0
149246,1,0.74,0.74,6.0,6.0
149248,3,2.94,0.98,23.0,7.67
149249,1,2.53,2.53,28.0,28.0
149250,2,1.58,0.79,13.0,6.5
149251,1,0.5,0.5,5.0,5.0
149252,1,0.59,0.59,6.0,6.0
149253,1,0.77,0.77,5.0,5.0
149255,2,2.91,1.46,26.0,13.0
149256,1,1.92,1.92,15.0,15.0
149257,1,1.18,1.18,10.0,10.0
149258,1,0.94,0.94,11.0,11.0
149260,1,1.2,1.2,14.0,14.0
149263,2,1.52,0.76,9.0,4.5
149269,1,0.72,0.72,11.0,11.0
149271,1,3.0,3.0,26.0,26.0
149273,1,1.87,1.87,14.0,14.0
149285,1,0.79,0.79,5.0,5.0
149292,1,2.27,2.27,21.0,21.0
149293,2,6.76,3.38,57.0,28.5
149299,1,2.06,2.06,21.0,21.0
149301,1,0.59,0.59,4.0,4.0
149303,1,0.82,0.82,8.0,8.0
149311,1,0.79,0.79,10.0,10.0
149313,1,0.66,0.66,6.0,6.0
149315,1,1.9,1.9,10.0,10.0
149323,1,0.72,0.72,7.0,7.0
149333,1,2.66,2.66,51.0,51.0
149336,3,2.88,0.96,29.0,9.67
149337,1,1.16,1.16,12.0,12.0
149339,1,3.04,3.04,20.0,20.0
149342,1,1.88,1.88,14.0,14.0
149347,1,1.01,1.01,9.0,9.0
149350,1,0.61,0.61,4.0,4.0
149354,1,0.72,0.72,6.0,6.0
149356,2,1.66,0.83,14.0,7.0
149358,1,1.69,1.69,12.0,12.0
149362,1,2.83,2.83,25.0,25.0
149367,1,0.74,0.74,9.0,9.0
149372,1,1.57,1.57,17.0,17.0
149375,1,1.11,1.11,11.0,11.0
149379,1,0.78,0.78,8.0,8.0
149380,1,1.1,1.1,8.0,8.0
149386,1,0.5,0.5,4.0,4.0
149389,1,0.66,0.66,4.0,4.0
149390,3,4.24,1.41,55.0,18.33
149392,1,0.58,0.58,4.0,4.0
149410,1,1.62,1.62,18.0,18.0
149416,1,0.44,0.44,4.0,4.0
149427,2,3.37,1.68,28.0,14.0
149430,2,2.91,1.46,25.0,12.5
149431,1,1.73,1.73,15.0,15.0
149435,1,1.15,1.15,7.0,7.0
149438,1,0.58,0.58,3.0,3.0
149441,1,2.4,2.4,19.0,19.0
149447,1,1.57,1.57,14.0,14.0
149451,1,1.45,1.45,9.0,9.0
149452,1,3.5,3.5,27.0,27.0
149456,1,0.52,0.52,7.0,7.0
149459,1,3.67,3.67,29.0,29.0
149460,1,2.51,2.51,54.0,54.0
149461,1,0.67,0.67,9.0,9.0
149465,1,1.24,1.24,47.0,47.0
149467,1,1.8,1.8,47.0,47.0
149468,1,0.77,0.77,8.0,8.0
149469,1,1.05,1.05,23.0,23.0
149472,1,0.35,0.35,4.0,4.0
149476,1,0.67,0.67,6.0,6.0
149477,2,2.64,1.32,20.0,10.0
149478,1,0.29,0.29,41.0,41.0
149482,2,2.4,1.2,24.0,12.0
149486,1,1.36,1.36,11.0,11.0
149490,1,0.59,0.59,5.0,5.0
149494,3,4.79,1.6,44.0,14.67
149504,1,2.54,2.54,19.0,19.0
149505,2,3.47,1.74,25.0,12.5
149507,1,3.96,3.96,37.0,37.0
149509,1,2.93,2.93,31.0,31.0
149512,1,1.82,1.82,16.0,16.0
149521,1,1.0,1.0,6.0,6.0
149525,1,0.97,0.97,6.0,6.0
149527,1,7.22,7.22,81.0,81.0
149532,1,0.65,0.65,7.0,7.0
149533,1,4.13,4.13,59.0,59.0
149534,1,1.49,1.49,22.0,22.0
149540,2,10.84,5.42,185.0,92.5
149541,1,5.55,5.55,55.0,55.0
149544,1,0.65,0.65,13.0,13.0
149545,1,0.77,0.77,6.0,6.0
149546,1,1.01,1.01,11.0,11.0
149556,1,0.58,0.58,44.0,44.0
149564,1,1.11,1.11,12.0,12.0
149567,1,5.35,5.35,36.0,36.0
149572,1,0.59,0.59,5.0,5.0
149578,1,1.62,1.62,12.0,12.0
149581,1,4.22,4.22,43.0,43.0
149583,1,0.48,0.48,3.0,3.0
149586,1,1.57,1.57,17.0,17.0
149588,1,0.62,0.62,5.0,5.0
149591,1,1.45,1.45,10.0,10.0
149592,1,0.92,0.92,26.0,26.0
149593,1,2.23,2.23,21.0,21.0
149599,1,0.5,0.5,6.0,6.0
149600,1,0.72,0.72,5.0,5.0
149603,1,2.68,2.68,24.0,24.0
149608,1,0.69,0.69,6.0,6.0
149611,1,1.16,1.16,8.0,8.0
149615,1,3.34,3.34,20.0,20.0
149621,1,3.94,3.94,35.0,35.0
149626,1,2.18,2.18,23.0,23.0
149632,1,0.83,0.83,7.0,7.0
149633,2,1.71,0.85,12.0,6.0
149643,2,2.9,1.45,34.0,17.0
149655,1,0.5,0.5,5.0,5.0
149657,1,3.42,3.42,37.0,37.0
149660,1,2.4,2.4,18.0,18.0
149661,2,4.12,2.06,36.0,18.0
149663,2,4.83,2.42,45.0,22.5
149668,1,1.01,1.01,12.0,12.0
149670,1,0.58,0.58,6.0,6.0
149671,2,2.16,1.08,19.0,9.5
149673,2,1.98,0.99,26.0,13.0
149683,1,0.92,0.92,39.0,39.0
149684,1,1.75,1.75,10.0,10.0
149697,1,1.92,1.92,16.0,16.0
149701,1,2.89,2.89,27.0,27.0
149705,1,0.45,0.45,9.0,9.0
149708,1,0.4,0.4,3.0,3.0
149711,1,0.67,0.67,6.0,6.0
149718,1,1.08,1.08,7.0,7.0
149719,1,2.46,2.46,21.0,21.0
149724,1,0.97,0.97,24.0,24.0
149725,1,0.22,0.22,4.0,4.0
149727,1,1.35,1.35,11.0,11.0
149729,1,1.24,1.24,21.0,21.0
149730,3,9.05,3.02,70.0,23.33
149734,1,6.4,6.4,49.0,49.0
149735,1,0.53,0.53,7.0,7.0
149736,1,0.38,0.38,9.0,9.0
149739,1,2.17,2.17,20.0,20.0
149742,5,7.81,1.56,90.0,18.0
149743,2,5.13,2.56,46.0,23.0
149744,1,6.24,6.24,50.0,50.0
149745,1,1.71,1.71,15.0,15.0
149749,1,0.38,0.38,11.0,11.0
149750,2,4.34,2.17,30.0,15.0
149756,1,0.52,0.52,17.0,17.0
149757,1,1.49,1.49,11.0,11.0
149758,1,0.58,0.58,6.0,6.0
149764,2,0.94,0.47,63.0,31.5
149767,2,1.81,0.9,16.0,8.0
149772,1,0.78,0.78,4.0,4.0
149774,1,0.44,0.44,8.0,8.0
149782,1,2.94,2.94,24.0,24.0
149783,2,9.53,4.77,79.0,39.5
149784,2,4.33,2.17,33.0,16.5
149787,1,1.23,1.23,7.0,7.0
149790,1,0.45,0.45,7.0,7.0
149793,1,0.88,0.88,10.0,10.0
149794,1,1.13,1.13,8.0,8.0
149797,1,0.96,0.96,9.0,9.0
149801,1,2.97,2.97,14.0,14.0
149809,2,17.17,8.59,91.0,45.5
149814,1,0.58,0.58,12.0,12.0
149822,1,2.57,2.57,16.0,16.0
149825,1,1.49,1.49,13.0,13.0
149827,1,0.15,0.15,19.0,19.0
149833,1,6.82,6.82,63.0,63.0
149837,1,2.19,2.19,23.0,23.0
149838,1,0.59,0.59,4.0,4.0
149839,1,0.45,0.45,21.0,21.0
149844,1,3.4,3.4,22.0,22.0
149845,2,1.21,0.6,7.0,3.5
149849,1,0.92,0.92,47.0,47.0
149853,1,1.47,1.47,11.0,11.0
149855,1,0.5,0.5,7.0,7.0
149861,1,2.16,2.16,20.0,20.0
149862,1,0.77,0.77,5.0,5.0
149867,1,3.24,3.24,45.0,45.0
149868,2,2.69,1.35,22.0,11.0
149869,1,0.44,0.44,9.0,9.0
149872,1,2.6,2.6,27.0,27.0
149874,1,8.45,8.45,47.0,47.0
149880,1,1.52,1.52,13.0,13.0
149881,1,5.26,5.26,38.0,38.0
149883,1,1.65,1.65,30.0,30.0
149894,1,1.73,1.73,23.0,23.0
149896,1,1.87,1.87,18.0,18.0
149899,2,3.03,1.52,38.0,19.0
149910,1,2.4,2.4,20.0,20.0
149912,1,0.83,0.83,51.0,51.0
149921,1,0.58,0.58,5.0,5.0
149926,1,1.1,1.1,15.0,15.0
149930,1,1.29,1.29,12.0,12.0
149936,1,1.8,1.8,17.0,17.0
149938,1,0.88,0.88,10.0,10.0
149939,1,1.53,1.53,14.0,14.0
149955,2,1.14,0.57,19.0,9.5
149956,1,0.49,0.49,36.0,36.0
149958,1,1.02,1.02,9.0,9.0
149959,1,3.04,3.04,24.0,24.0
149960,2,5.51,2.76,66.0,33.0
149963,6,20.64,3.44,203.0,33.83
149965,1,1.81,1.81,24.0,24.0
149967,2,1.78,0.89,22.0,11.0
149969,1,1.54,1.54,15.0,15.0
149970,2,1.87,0.93,13.0,6.5
149974,1,0.82,0.82,9.0,9.0
149976,2,1.27,0.64,30.0,15.0
149978,1,1.52,1.52,31.0,31.0
149979,2,1.4,0.7,13.0,6.5
149982,1,0.8,0.8,7.0,7.0
149985,1,5.07,5.07,56.0,56.0
149987,1,1.56,1.56,11.0,11.0
149989,1,1.23,1.23,9.0,9.0
149990,2,3.02,1.51,29.0,14.5
149994,1,1.39,1.39,14.0,14.0
149999,1,1.66,1.66,18.0,18.0
150000,1,2.32,2.32,17.0,17.0
150006,1,1.35,1.35,14.0,14.0
150010,2,1.75,0.88,10.0,5.0
150011,1,0.8,0.8,9.0,9.0
150023,1,1.43,1.43,12.0,12.0
150024,1,0.48,0.48,4.0,4.0
150028,2,1.82,0.91,16.0,8.0
150032,1,0.4,0.4,10.0,10.0
150034,1,0.73,0.73,10.0,10.0
150037,1,0.79,0.79,10.0,10.0
150041,1,4.04,4.04,36.0,36.0
150047,1,2.4,2.4,20.0,20.0
150050,1,0.98,0.98,19.0,19.0
150052,1,2.67,2.67,28.0,28.0
150053,1,0.24,0.24,29.0,29.0
150055,3,5.24,1.75,53.0,17.67
150057,2,6.13,3.06,49.0,24.5
150058,4,6.05,1.51,36.0,9.0
150063,1,3.04,3.04,17.0,17.0
150071,1,0.56,0.56,6.0,6.0
150085,1,3.18,3.18,32.0,32.0
150096,1,0.7,0.7,5.0,5.0
150099,1,0.92,0.92,9.0,9.0
150102,3,4.91,1.64,24.0,8.0
150110,1,0.52,0.52,7.0,7.0
150123,1,1.05,1.05,7.0,7.0
150124,1,1.57,1.57,16.0,16.0
150128,1,0.93,0.93,34.0,34.0
150129,1,1.57,1.57,19.0,19.0
150130,1,2.31,2.31,20.0,20.0
150131,3,3.1,1.03,44.0,14.67
150132,1,0.79,0.79,14.0,14.0
150134,1,1.52,1.52,21.0,21.0
150144,4,3.39,0.85,45.0,11.25
150145,2,1.63,0.81,20.0,10.0
150146,1,1.84,1.84,18.0,18.0
150148,1,1.9,1.9,10.0,10.0
150153,1,4.0,4.0,27.0,27.0
150162,1,3.79,3.79,21.0,21.0
150168,1,1.0,1.0,10.0,10.0
150173,2,1.4,0.7,11.0,5.5
150177,1,0.22,0.22,37.0,37.0
150178,1,4.73,4.73,45.0,45.0
150183,1,2.39,2.39,25.0,25.0
150184,2,9.62,4.81,80.0,40.0
150185,1,1.45,1.45,14.0,14.0
150189,1,3.29,3.29,26.0,26.0
150190,1,3.92,3.92,27.0,27.0
150193,1,2.02,2.02,17.0,17.0
150194,1,2.84,2.84,22.0,22.0
150196,1,2.5,2.5,19.0,19.0
150204,1,0.48,0.48,3.0,3.0
150208,5,14.75,2.95,124.0,24.8
150215,2,4.81,2.4,72.0,36.0
150218,1,1.24,1.24,29.0,29.0
150220,1,1.74,1.74,23.0,23.0
150221,1,3.91,3.91,42.0,42.0
150226,2,2.52,1.26,45.0,22.5
150229,1,1.37,1.37,38.0,38.0
150231,1,0.87,0.87,8.0,8.0
150233,1,1.02,1.02,7.0,7.0
150237,1,1.73,1.73,22.0,22.0
150241,1,0.83,0.83,12.0,12.0
150244,1,5.08,5.08,110.0,110.0
150245,1,1.16,1.16,16.0,16.0
150253,2,1.97,0.99,17.0,8.5
150254,1,1.35,1.35,10.0,10.0
150256,1,1.43,1.43,9.0,9.0
150259,1,1.84,1.84,15.0,15.0
150260,2,4.11,2.05,36.0,18.0
150261,1,2.38,2.38,55.0,55.0
150264,1,1.88,1.88,17.0,17.0
150268,2,6.24,3.12,42.0,21.0
150271,1,5.05,5.05,44.0,44.0
150272,1,2.14,2.14,51.0,51.0
150275,1,2.2,2.2,18.0,18.0
150276,1,1.23,1.23,22.0,22.0
150289,1,0.36,0.36,13.0,13.0
150297,1,2.76,2.76,27.0,27.0
150300,1,1.75,1.75,19.0,19.0
150312,1,2.34,2.34,31.0,31.0
150317,1,3.41,3.41,32.0,32.0
150318,4,4.32,1.08,101.0,25.25
150321,1,2.21,2.21,24.0,24.0
150325,1,0.58,0.58,30.0,30.0
150326,1,3.68,3.68,47.0,47.0
150331,1,2.9,2.9,23.0,23.0
150332,1,0.24,0.24,26.0,26.0
150333,3,17.91,5.97,144.0,48.0
150336,1,3.62,3.62,28.0,28.0
150337,1,0.35,0.35,3.0,3.0
150346,2,1.47,0.74,17.0,8.5
150363,1,0.65,0.65,5.0,5.0
150364,1,0.22,0.22,28.0,28.0
150374,2,1.38,0.69,74.0,37.0
150379,2,1.61,0.8,186.0,93.0
150382,1,2.26,2.26,25.0,25.0
150390,1,1.05,1.05,11.0,11.0
150391,1,0.67,0.67,19.0,19.0
150393,2,0.77,0.39,9.0,4.5
150409,1,1.98,1.98,13.0,13.0
150412,1,1.74,1.74,13.0,13.0
150413,1,0.4,0.4,8.0,8.0
150420,1,0.4,0.4,3.0,3.0
150427,3,9.68,3.23,95.0,31.67
150428,1,0.4,0.4,19.0,19.0
150431,1,1.11,1.11,9.0,9.0
150440,1,0.94,0.94,8.0,8.0
150442,1,0.61,0.61,10.0,10.0
150452,2,10.29,5.15,125.0,62.5
150454,1,2.11,2.11,19.0,19.0
150455,2,3.05,1.53,24.0,12.0
150459,1,1.31,1.31,13.0,13.0
150462,1,2.5,2.5,23.0,23.0
150465,1,0.8,0.8,4.0,4.0
150470,1,0.92,0.92,22.0,22.0
150477,1,0.45,0.45,6.0,6.0
150478,1,0.98,0.98,6.0,6.0
150480,1,1.59,1.59,14.0,14.0
150482,1,1.4,1.4,9.0,9.0
150485,1,1.68,1.68,16.0,16.0
150486,4,6.2,1.55,76.0,19.0
150495,1,0.22,0.22,13.0,13.0
150522,1,0.24,0.24,6.0,6.0
150524,2,8.16,4.08,130.0,65.0
150528,1,1.57,1.57,12.0,12.0
150529,3,16.85,5.62,115.0,38.33
150533,1,1.69,1.69,15.0,15.0
150536,3,2.46,0.82,30.0,10.0
150537,1,1.07,1.07,8.0,8.0
150540,1,1.16,1.16,26.0,26.0
150549,3,8.04,2.68,62.0,20.67
150561,1,0.8,0.8,5.0,5.0
150574,1,0.79,0.79,6.0,6.0
150575,1,0.91,0.91,17.0,17.0
150576,2,0.58,0.29,17.0,8.5
150581,1,0.77,0.77,7.0,7.0
150586,1,2.71,2.71,24.0,24.0
150596,1,1.02,1.02,7.0,7.0
150598,1,1.11,1.11,24.0,24.0
150599,1,0.49,0.49,4.0,4.0
150603,1,1.93,1.93,14.0,14.0
150604,1,0.58,0.58,5.0,5.0
150605,1,0.67,0.67,9.0,9.0
150606,1,1.38,1.38,11.0,11.0
150608,1,1.21,1.21,28.0,28.0
150609,1,2.24,2.24,22.0,22.0
150624,1,0.92,0.92,6.0,6.0
150625,3,2.42,0.81,28.0,9.33
150627,1,0.4,0.4,26.0,26.0
150635,2,1.42,0.71,15.0,7.5
150636,1,5.7,5.7,54.0,54.0
150639,1,1.01,1.01,9.0,9.0
150640,1,0.77,0.77,7.0,7.0
150642,2,4.16,2.08,45.0,22.5
150643,1,1.02,1.02,11.0,11.0
150647,1,1.08,1.08,14.0,14.0
150649,1,1.01,1.01,7.0,7.0
150650,2,1.6,0.8,16.0,8.0
150652,1,0.78,0.78,8.0,8.0
150653,1,0.49,0.49,7.0,7.0
150658,1,2.24,2.24,19.0,19.0
150662,1,0.7,0.7,9.0,9.0
150668,1,0.24,0.24,60.0,60.0
150671,1,0.31,0.31,47.0,47.0
150680,1,0.29,0.29,2.0,2.0
150705,1,1.69,1.69,16.0,16.0
150706,3,3.78,1.26,38.0,12.67
150708,1,0.91,0.91,10.0,10.0
150709,1,0.69,0.69,6.0,6.0
150710,1,1.24,1.24,10.0,10.0
150718,1,1.05,1.05,23.0,23.0
150722,1,1.98,1.98,64.0,64.0
150723,1,4.87,4.87,81.0,81.0
150724,1,0.83,0.83,8.0,8.0
150725,1,0.7,0.7,7.0,7.0
150729,1,1.49,1.49,13.0,13.0
150730,1,1.11,1.11,6.0,6.0
150745,2,4.44,2.22,24.0,12.0
150748,3,1.37,0.46,12.0,4.0
150749,1,0.58,0.58,4.0,4.0
150751,3,1.69,0.56,12.0,4.0
150752,1,1.49,1.49,13.0,13.0
150754,1,0.29,0.29,9.0,9.0
150755,2,1.22,0.61,6.0,3.0
150763,1,0.56,0.56,5.0,5.0
150766,1,1.06,1.06,24.0,24.0
150767,1,0.62,0.62,6.0,6.0
150778,2,2.93,1.46,21.0,10.5
150783,1,2.03,2.03,13.0,13.0
150789,1,1.17,1.17,10.0,10.0
150801,1,1.53,1.53,21.0,21.0
150804,1,0.94,0.94,18.0,18.0
150811,1,1.96,1.96,14.0,14.0
150814,2,4.24,2.12,54.0,27.0
150825,1,0.77,0.77,5.0,5.0
150826,1,1.76,1.76,16.0,16.0
150829,3,4.67,1.56,54.0,18.0
150832,1,2.17,2.17,39.0,39.0
150834,1,0.98,0.98,7.0,7.0
150841,2,1.87,0.94,58.0,29.0
150842,1,0.67,0.67,4.0,4.0
150861,1,1.45,1.45,11.0,11.0
150864,1,1.52,1.52,38.0,38.0
150865,1,0.73,0.73,4.0,4.0
150876,1,0.86,0.86,5.0,5.0
150881,1,0.36,0.36,14.0,14.0
150884,1,0.4,0.4,4.0,4.0
150885,1,0.87,0.87,19.0,19.0
150895,1,0.88,0.88,7.0,7.0
150896,1,0.8,0.8,7.0,7.0
150897,1,5.34,5.34,32.0,32.0
150899,1,0.58,0.58,9.0,9.0
150900,4,9.25,2.31,71.0,17.75
150902,1,2.86,2.86,23.0,23.0
150904,2,5.26,2.63,32.0,16.0
150912,1,2.53,2.53,53.0,53.0
