userid,R,F,M,R_SC,F_SC,M_SC
112,4,4,5.61,-0.027136468961822417,-0.590922324999072,-0.5934650692940727
113,3,6,9.72,-0.2168445457661492,-0.01554072208314083,0.04529480109429712
114,0,8,11.2,-0.7859687761791295,0.5598408808327904,0.27531052084485347
115,0,11,20.16,-0.7859687761791295,1.422913285206687,1.6678381214968714
116,8,1,0.78,0.7316958382554847,-1.4539947293729687,-1.3441244790205513
117,1,7,7.27,-0.5962606993748027,0.27215007937482477,-0.3354744647089892
118,3,3,2.7,-0.2168445457661492,-0.8786131264570376,-1.0457257074522617
119,0,4,10.28,-0.7859687761791295,-0.590922324999072,0.13232777613504804
120,15,4,4.29,2.059652375885772,-0.590922324999072,-0.7986142247472718
121,5,3,5.57,0.16257160784250435,-0.8786131264570376,-0.5996817103684121
122,2,12,15.7,-0.406552622570476,1.7106040866646526,0.9746826417080321
123,2,12,15.74,-0.406552622570476,1.7106040866646526,0.9808992827823716
124,2,12,21.05,-0.406552622570476,1.7106040866646526,1.8061583854009224
125,0,14,17.8,-0.7859687761791295,2.285985689580584,1.301056298110849
126,19,6,5.68,2.818484683103079,-0.01554072208314083,-0.582585947413979
127,2,2,1.44,-0.406552622570476,-1.1663039279150031,-1.2415499012939517
128,21,6,4.84,3.197900836711733,-0.01554072208314083,-0.7131354099751056
129,5,5,3.27,0.16257160784250435,-0.3032315235411064,-0.9571385721429257
130,16,3,3.61,2.249360452690099,-0.8786131264570376,-0.9042971230110411
131,8,6,8.19,0.7316958382554847,-0.01554072208314083,-0.1924917199991838
132,6,6,8.29,0.3522796846468311,-0.01554072208314083,-0.17695011731333543
133,18,4,4.81,2.6287766062987528,-0.590922324999072,-0.7177978907808602
134,1,9,9.62,-0.5962606993748027,0.8475316822907559,0.02975319840844849
135,5,11,10.43,0.16257160784250435,1.422913285206687,0.15564018016382072
136,0,7,8.62,-0.7859687761791295,0.27215007937482477,-0.12566282845003565
137,3,9,15.42,-0.2168445457661492,0.8475316822907559,0.9311661541876566
138,0,2,2.7,-0.7859687761791295,-1.1663039279150031,-1.0457257074522617
139,18,3,7.02,2.6287766062987528,-0.8786131264570376,-0.3743284714236102
140,0,11,16.12,-0.7859687761791295,1.422913285206687,1.0399573729885956
141,1,5,12.41,-0.5962606993748027,-0.3032315235411064,0.46336391334361937
142,7,13,18.4,0.5419877614511579,1.9982948881226184,1.394305914225939
143,4,6,9.32,-0.027136468961822417,-0.01554072208314083,-0.016871609649096588
144,4,7,11.34,-0.027136468961822417,0.27215007937482477,0.29706876460504134
145,9,7,8.42,0.9214039150598115,0.27215007937482477,-0.15674603382173238
146,0,6,6.39,-0.7859687761791295,-0.01554072208314083,-0.4722405683444552
147,27,1,4.98,4.336149297537694,-1.4539947293729687,-0.6913771662149177
148,8,7,8.35,0.7316958382554847,0.27215007937482477,-0.16762515570182632
149,0,8,10.95,-0.7859687761791295,0.5598408808327904,0.23645651413023241
150,0,6,15.68,-0.7859687761791295,-0.01554072208314083,0.9715743211708625
151,26,2,1.22,4.146441220733367,-1.1663039279150031,-1.275741427202818
152,0,13,19.15,-0.7859687761791295,1.9982948881226184,1.5108679343698022
153,1,4,4.07,-0.5962606993748027,-0.590922324999072,-0.8328057506561384
154,2,6,5.03,-0.406552622570476,-0.01554072208314083,-0.6836063648719936
155,14,3,2.15,1.8699442990814454,-0.8786131264570376,-1.1312045222244278
156,6,3,8.93,0.3522796846468311,-0.8786131264570376,-0.07748386012390548
157,9,2,1.66,0.9214039150598115,-1.1663039279150031,-1.2073583753850852
