userid,recency(day),frequency(次),total_distance(km),total_duration(min),avg_duration(min),avg_speed(km/h)
6955,6,13,13.53,222.0,17.08,4.68
6956,5,6,6.17,64.0,10.67,5.33
6957,6,12,15.68,247.0,20.58,5.21
6958,13,4,6.5,97.0,24.25,8.17
6959,5,9,12.8,158.0,17.56,5.92
6960,10,5,5.6,45.0,9.0,7.43
6961,0,6,17.47,154.0,25.67,6.12
6963,7,8,7.46,78.0,9.75,6.88
6965,4,5,3.19,135.0,27.0,5.05
6966,7,3,3.1,36.0,12.0,6.01
6967,0,5,6.9,76.0,15.2,6.67
6968,13,8,12.95,117.0,14.62,6.73
6969,0,10,15.9,144.0,14.4,7.32
6970,2,9,10.87,102.0,11.33,6.61
6971,3,11,18.98,179.0,16.27,7.31
6972,1,11,21.1,312.0,28.36,5.59
6973,3,8,11.73,146.0,18.25,5.84
6974,1,7,14.86,152.0,21.71,6.28
6975,1,10,17.16,150.0,15.0,6.78
6976,0,6,8.91,62.0,10.33,9.25
6977,5,2,4.79,95.0,47.5,3.63
6978,13,3,6.65,58.0,19.33,6.6
6979,10,5,7.34,91.0,18.2,5.48
6980,4,8,8.72,133.0,16.62,6.83
6981,2,9,9.35,88.0,9.78,8.12
6982,0,4,4.66,49.0,12.25,6.71
6983,1,17,27.13,392.0,23.06,5.33
6984,0,13,21.82,184.0,14.15,6.88
6985,3,12,16.79,133.0,11.08,7.94
6986,6,8,9.34,161.0,20.12,5.44
6987,5,6,10.77,137.0,22.83,5.87
6988,2,7,12.37,133.0,19.0,5.82
6989,0,12,12.18,182.0,15.17,6.39
6990,0,9,18.53,225.0,25.0,6.65
6991,3,9,7.4,94.0,10.44,5.81
6992,13,3,6.98,51.0,17.0,9.18
6993,6,7,10.58,209.0,29.86,5.8
6994,0,6,8.34,98.0,16.33,6.27
6995,0,10,19.36,192.0,19.2,6.88
6996,3,13,19.08,195.0,15.0,6.52
6997,3,8,12.49,105.0,13.12,7.33
6998,0,12,14.67,192.0,16.0,5.4
6999,20,3,3.9,33.0,11.0,8.4
7000,22,4,2.39,24.0,6.0,6.0
7001,0,6,7.99,77.0,12.83,7.48
7002,21,2,2.91,21.0,10.5,8.36
7003,0,9,22.0,205.0,22.78,7.17
7004,0,9,19.68,161.0,17.89,7.19
7005,2,8,13.89,118.0,14.75,7.06
7006,30,1,0.5,5.0,5.0,6.06
7007,0,11,17.29,139.0,12.64,8.08
7008,1,12,17.95,198.0,16.5,5.72
7009,1,14,24.5,242.0,17.29,6.7
7010,0,10,11.41,130.0,13.0,6.93
7011,3,6,12.37,84.0,14.0,8.04
7012,0,12,18.38,199.0,16.58,6.45
7013,3,9,10.1,108.0,12.0,6.09
7014,0,9,12.58,107.0,11.89,7.5
7015,0,14,29.66,462.0,33.0,5.94
7016,12,9,9.78,180.0,20.0,6.29
7017,2,5,7.8,59.0,11.8,7.73
7018,0,13,19.68,193.0,14.85,6.87
7019,5,9,21.99,344.0,38.22,6.98
7020,20,1,2.01,17.0,17.0,7.1
7021,4,13,12.99,135.0,10.38,6.64
7022,10,3,7.47,67.0,22.33,6.73
7023,6,10,14.12,157.0,15.7,6.51
7024,2,5,5.38,58.0,11.6,6.15
7025,4,7,5.72,48.0,6.86,7.35
7026,0,12,24.01,229.0,19.08,6.87
7027,0,8,13.07,154.0,19.25,5.77
7028,0,17,21.38,268.0,15.76,5.98
7029,3,4,6.44,64.0,16.0,7.18
7030,10,5,4.89,51.0,10.2,5.74
7031,8,9,20.03,205.0,22.78,6.19
7032,1,12,13.29,155.0,12.92,6.86
7033,1,10,21.26,171.0,17.1,7.2
7034,11,4,9.79,78.0,19.5,7.78
7035,1,8,11.36,94.0,11.75,7.3
7036,26,2,2.43,18.0,9.0,8.09
7037,5,6,8.91,101.0,16.83,6.4
7038,2,6,6.88,79.0,13.17,5.95
7039,4,4,3.48,34.0,8.5,6.7
7040,13,4,7.89,72.0,18.0,7.14
7041,1,10,10.03,207.0,20.7,6.05
7042,1,7,13.58,105.0,15.0,7.57
7043,6,9,12.03,285.0,31.67,4.46
7044,6,7,12.45,92.0,13.14,8.03
7045,3,19,31.98,312.0,16.42,7.08
7046,0,12,16.45,172.0,14.33,6.9
7047,0,11,15.24,156.0,14.18,6.41
7048,0,10,16.33,149.0,14.9,7.09
7049,3,11,25.54,195.0,17.73,7.31
7050,16,2,4.61,124.0,62.0,2.7
7051,2,6,15.45,128.0,21.33,8.66
7052,0,11,15.64,130.0,11.82,7.52
7053,0,8,14.8,253.0,31.63,6.27
7054,2,1,0.38,45.0,45.0,0.51
7055,10,3,7.25,82.0,27.33,6.15
7056,2,14,22.64,204.0,14.57,6.77
7057,19,3,4.67,36.0,12.0,8.8
7058,0,11,19.5,169.0,15.36,6.41
7059,13,2,1.69,13.0,6.5,9.78
7060,4,5,3.39,94.0,18.8,4.17
7061,0,11,19.81,171.0,15.55,6.99
7062,11,5,5.69,134.0,26.8,5.19
7063,1,5,3.92,53.0,10.6,5.14
7064,9,6,7.21,68.0,11.33,6.6
7065,0,4,11.43,86.0,21.5,9.23
7066,0,12,14.23,133.0,11.08,7.06
7067,27,4,9.76,93.0,23.25,4.9
7068,1,5,11.05,78.0,15.6,8.58
7070,3,12,13.52,125.0,10.42,7.41
7071,6,7,16.59,160.0,22.86,7.87
7072,8,7,17.25,129.0,18.43,7.64
7073,0,8,19.67,168.0,21.0,7.39
7074,5,6,19.11,139.0,23.17,8.14
7075,7,6,10.79,78.0,13.0,8.18
7076,25,2,2.01,17.0,8.5,8.43
7077,1,11,18.39,199.0,18.09,6.16
7078,1,6,5.56,52.0,8.67,6.45
7079,5,7,7.46,61.0,8.71,8.02
7080,1,7,11.6,138.0,19.71,7.3
7081,26,2,1.61,15.0,7.5,6.8
7082,12,5,15.91,102.0,20.4,10.03
7083,0,8,9.21,81.0,10.12,6.9
7084,11,8,6.78,71.0,8.88,6.37
7085,8,11,25.17,237.0,21.55,6.45
7086,2,10,17.1,148.0,14.8,7.21
7087,23,1,0.91,8.0,8.0,6.81
7088,1,12,20.88,244.0,20.33,5.13
7089,4,4,5.12,45.0,11.25,6.84
7090,0,8,9.23,93.0,11.62,6.39
7091,0,6,6.94,75.0,12.5,6.06
7092,0,2,7.8,65.0,32.5,6.85
7093,0,8,11.73,111.0,13.88,6.85
7094,7,10,10.22,101.0,10.1,6.97
7095,0,7,11.5,100.0,14.29,7.46
7096,2,8,11.46,114.0,14.25,6.74
7097,0,9,9.11,82.0,9.11,6.62
7098,3,7,12.28,113.0,16.14,6.35
7099,4,3,3.26,29.0,9.67,6.94
7100,24,2,5.81,48.0,24.0,7.29
7102,4,6,6.11,69.0,11.5,7.69
7103,12,9,8.17,68.0,7.56,7.15
7104,16,8,8.28,255.0,31.88,4.24
7105,15,6,5.73,50.0,8.33,6.89
7106,2,5,12.18,101.0,20.2,6.79
7107,6,9,13.5,132.0,14.67,7.22
7108,1,2,2.71,52.0,26.0,3.66
7109,0,7,15.77,156.0,22.29,6.24
7110,1,11,16.17,244.0,22.18,5.74
7111,2,8,13.13,124.0,15.5,6.64
7112,16,6,6.2,75.0,12.5,6.17
7113,9,8,7.83,65.0,8.12,7.33
7114,4,6,6.89,85.0,14.17,5.13
7115,1,8,6.93,71.0,8.88,6.36
7116,3,3,2.34,40.0,13.33,4.47
7117,0,8,13.24,108.0,13.5,7.24
7118,3,8,9.59,91.0,11.38,6.29
7119,1,6,11.15,72.0,12.0,9.47
7120,6,6,10.57,118.0,19.67,6.35
7121,2,12,15.99,135.0,11.25,7.18
7122,1,13,13.43,312.0,24.0,5.59
7123,2,8,9.4,132.0,16.5,5.91
7124,0,7,15.03,155.0,22.14,7.04
7125,20,2,1.53,15.0,7.5,5.46
7126,20,2,3.53,34.0,17.0,6.34
7127,2,8,17.32,168.0,21.0,5.97
7128,0,7,28.97,223.0,31.86,7.41
7129,5,9,20.67,156.0,17.33,8.43
7130,7,13,22.89,250.0,19.23,6.4
7131,2,11,13.78,235.0,21.36,5.1
7132,4,10,11.99,103.0,10.3,7.32
7133,0,12,23.79,211.0,17.58,6.77
7134,7,7,9.94,109.0,15.57,5.93
7135,3,7,9.43,105.0,15.0,5.86
7136,6,8,8.58,81.0,10.12,6.95
7137,2,11,12.78,117.0,10.64,7.01
7138,0,9,10.68,115.0,12.78,6.01
7139,5,7,9.05,68.0,9.71,9.31
7140,2,10,21.71,213.0,21.3,6.46
7141,2,10,19.07,173.0,17.3,6.55
7143,9,7,11.35,131.0,18.71,6.01
7144,11,5,6.79,65.0,13.0,7.18
7145,3,13,16.7,190.0,14.62,6.05
7146,8,7,11.14,148.0,21.14,4.9
7147,0,8,10.61,95.0,11.88,7.18
7148,9,11,26.64,256.0,23.27,6.34
7149,3,7,10.58,122.0,17.43,6.28
7150,1,9,12.0,129.0,14.33,6.36
7151,2,9,9.1,120.0,13.33,5.6
7152,0,1,0.77,7.0,7.0,6.58
7153,0,7,14.44,139.0,19.86,6.93
7154,6,11,19.73,190.0,17.27,6.66
7155,2,8,15.52,125.0,15.62,7.72
7156,16,7,16.62,143.0,20.43,6.55
7157,1,6,16.8,178.0,29.67,6.72
7158,8,6,10.45,91.0,15.17,6.96
7159,0,8,10.83,102.0,12.75,6.67
7160,0,13,19.97,169.0,13.0,6.99
7162,0,16,29.03,312.0,19.5,6.3
7163,15,6,10.31,86.0,14.33,6.35
7164,2,6,9.08,80.0,13.33,6.74
7165,0,3,5.14,46.0,15.33,6.64
7166,7,10,16.16,136.0,13.6,6.62
7167,2,6,7.5,83.0,13.83,5.99
7168,6,8,13.12,102.0,12.75,7.89
7169,3,9,18.38,167.0,18.56,6.69
7170,2,4,4.29,46.0,11.5,6.84
7171,0,9,12.42,102.0,11.33,7.37
7172,12,13,12.81,181.0,13.92,6.2
7173,0,9,16.34,153.0,17.0,7.28
7174,3,6,7.79,84.0,14.0,6.11
7175,1,7,15.13,290.0,41.43,5.79
7176,13,3,2.23,46.0,15.33,4.47
7177,6,3,2.6,40.0,13.33,4.38
7178,0,13,23.94,205.0,15.77,7.49
7179,0,13,17.28,278.0,21.38,5.08
7180,0,14,18.3,217.0,15.5,6.88
7181,0,18,18.43,239.0,13.28,7.01
7182,0,13,19.92,186.0,14.31,6.62
7183,0,5,6.61,55.0,11.0,7.75
7184,2,5,6.14,83.0,16.6,5.26
7185,2,10,11.22,177.0,17.7,5.79
7186,1,9,18.48,196.0,21.78,6.46
7187,4,5,6.16,63.0,12.6,5.73
7188,5,7,15.09,106.0,15.14,8.62
7189,2,8,13.32,107.0,13.38,7.34
7190,23,4,6.75,55.0,13.75,6.86
7191,1,10,14.69,127.0,12.7,7.64
7192,0,5,4.44,40.0,8.0,6.96
7193,9,5,4.44,54.0,10.8,7.46
7194,0,11,13.08,163.0,14.82,5.39
7195,0,12,23.02,205.0,17.08,7.46
7196,2,11,14.99,127.0,11.55,7.22
7197,0,11,14.78,175.0,15.91,5.71
7198,10,5,5.59,68.0,13.6,5.4
7199,0,13,15.95,232.0,17.85,5.69
7200,0,10,18.67,172.0,17.2,6.08
7201,6,8,18.81,204.0,25.5,6.44
7202,0,9,12.45,108.0,12.0,7.43
7203,7,10,14.48,256.0,25.6,5.89
7204,2,3,2.94,27.0,9.0,6.21
7205,1,9,15.48,152.0,16.89,6.78
7206,0,11,13.54,108.0,9.82,7.07
7207,0,12,20.34,308.0,25.67,6.24
7208,4,6,9.94,87.0,14.5,6.81
7209,2,8,14.52,123.0,15.38,7.69
7210,1,9,13.77,152.0,16.89,7.08
7211,0,12,17.74,218.0,18.17,6.94
7212,9,8,12.53,112.0,14.0,6.71
7213,3,7,9.32,100.0,14.29,5.93
7214,4,9,12.69,131.0,14.56,6.08
7215,0,12,14.69,112.0,9.33,8.32
7216,13,4,4.76,32.0,8.0,8.75
7217,3,6,9.64,103.0,17.17,6.4
7218,5,10,24.9,237.0,23.7,7.16
7219,1,6,5.74,65.0,10.83,5.69
7220,14,9,14.15,146.0,16.22,6.0
7221,19,4,7.06,54.0,13.5,5.84
7222,5,5,4.12,50.0,10.0,7.34
7223,1,9,8.56,75.0,8.33,7.15
7224,0,11,14.62,188.0,17.09,6.3
7225,0,5,14.46,116.0,23.2,7.04
7226,15,4,7.17,88.0,22.0,5.57
7227,3,9,9.33,105.0,11.67,6.46
7228,2,12,20.89,200.0,16.67,6.55
7229,3,11,15.33,152.0,13.82,7.46
7230,4,9,17.34,154.0,17.11,6.71
7231,4,6,4.85,80.0,13.33,7.12
7232,14,5,6.33,61.0,12.2,6.2
7233,10,3,3.76,39.0,13.0,5.47
7234,6,4,4.19,39.0,9.75,6.99
7235,7,4,5.22,184.0,46.0,3.56
7236,6,12,20.1,195.0,16.25,6.74
7237,2,9,8.41,175.0,19.44,4.16
7238,22,2,2.28,14.0,7.0,9.57
7239,2,11,17.63,211.0,19.18,6.71
7240,13,3,2.96,68.0,22.67,2.45
7241,1,7,9.86,81.0,11.57,7.05
7242,4,6,9.16,77.0,12.83,6.9
7243,0,8,12.74,116.0,14.5,7.17
7244,2,8,11.35,105.0,13.12,7.09
7245,2,8,10.9,132.0,16.5,6.1
7246,0,9,14.48,137.0,15.22,7.39
7247,0,14,19.77,207.0,14.79,5.87
7248,1,15,19.57,166.0,11.07,7.32
7249,20,3,7.17,84.0,28.0,6.69
7250,0,15,23.04,205.0,13.67,7.78
7251,1,4,3.36,54.0,13.5,3.81
7252,14,4,7.35,80.0,20.0,5.9
7253,0,8,21.01,188.0,23.5,6.31
7254,0,14,22.8,187.0,13.36,7.47
7255,4,11,18.23,175.0,15.91,6.1
7256,8,5,5.75,59.0,11.8,6.92
7257,7,5,4.3,165.0,33.0,4.04
7258,13,3,2.61,28.0,9.33,6.11
7259,0,8,13.46,98.0,12.25,7.73
7260,1,11,17.24,170.0,15.45,6.43
7261,0,11,19.84,210.0,19.09,6.77
7262,2,14,15.26,139.0,9.93,6.99
7263,24,3,4.13,38.0,12.67,6.56
7264,19,4,9.29,72.0,18.0,7.32
7265,2,10,9.65,125.0,12.5,5.98
7266,3,8,21.7,188.0,23.5,6.91
7267,0,10,30.26,242.0,24.2,7.16
7268,0,14,15.25,255.0,18.21,6.59
7269,0,6,7.25,52.0,8.67,8.56
7271,0,14,21.65,261.0,18.64,5.98
7272,0,10,16.77,149.0,14.9,6.85
7273,0,3,7.04,74.0,24.67,5.7
7274,2,6,6.67,98.0,16.33,4.52
7275,2,8,11.06,208.0,26.0,5.72
7276,0,18,30.07,278.0,15.44,6.94
7277,3,12,24.67,373.0,31.08,4.83
7278,0,14,24.78,246.0,17.57,7.75
7279,1,10,12.49,141.0,14.1,5.6
7280,2,6,8.6,67.0,11.17,8.0
7281,5,10,26.46,230.0,23.0,6.36
7282,0,3,1.98,19.0,6.33,6.69
7283,2,9,25.33,252.0,28.0,5.91
7284,4,14,22.47,223.0,15.93,6.57
7285,14,4,6.16,104.0,26.0,6.06
7286,0,4,2.83,26.0,6.5,6.58
7287,20,4,7.29,70.0,17.5,5.93
7288,2,10,20.46,188.0,18.8,6.64
7289,4,7,6.13,65.0,9.29,6.33
7290,0,7,13.12,107.0,15.29,7.15
7291,8,6,6.52,106.0,17.67,5.58
7292,0,4,4.36,35.0,8.75,8.02
7293,0,11,18.48,189.0,17.18,6.52
7294,5,9,11.29,129.0,14.33,5.71
7295,19,4,6.28,54.0,13.5,7.76
7296,4,8,6.38,101.0,12.62,5.07
7297,9,6,7.26,94.0,15.67,5.85
7298,0,7,11.34,100.0,14.29,6.45
7299,0,7,8.97,111.0,15.86,5.18
7300,0,16,24.56,283.0,17.69,5.36
7301,0,9,12.0,128.0,14.22,6.11
7302,6,7,11.6,102.0,14.57,7.06
7303,0,5,6.34,53.0,10.6,7.44
7304,1,9,12.84,120.0,13.33,6.45
7305,14,5,8.69,65.0,13.0,7.05
7306,1,9,8.96,139.0,15.44,5.02
7307,0,6,4.84,96.0,16.0,5.54
7308,16,6,8.12,214.0,35.67,4.64
7309,6,6,6.84,60.0,10.0,7.77
7310,5,6,7.19,85.0,14.17,5.71
7311,2,9,14.82,108.0,12.0,7.92
7312,7,2,2.31,54.0,27.0,2.37
7313,0,9,16.81,229.0,25.44,6.34
7314,0,5,10.43,94.0,18.8,7.42
7315,5,4,8.62,121.0,30.25,6.68
7316,5,5,15.18,156.0,31.2,6.97
7317,2,10,12.42,129.0,12.9,5.9
7318,6,10,18.27,167.0,16.7,7.09
7319,3,1,1.24,27.0,27.0,2.75
7320,0,8,13.36,139.0,17.38,5.46
7321,0,5,5.12,45.0,9.0,6.84
7322,2,10,20.16,174.0,17.4,7.22
7323,1,5,5.3,51.0,10.2,6.88
7324,4,8,10.09,125.0,15.62,5.96
7325,19,1,1.44,12.0,12.0,7.22
7326,10,7,17.46,201.0,28.71,5.16
7327,0,5,6.69,53.0,10.6,6.91
7328,3,9,8.84,97.0,10.78,6.25
7329,6,3,2.49,14.0,4.67,12.45
7330,5,11,12.76,160.0,14.55,5.37
7331,0,13,29.3,287.0,22.08,5.88
7332,4,10,12.22,154.0,15.4,6.58
7333,0,7,15.8,130.0,18.57,8.21
7334,2,9,11.24,102.0,11.33,6.87
7335,17,7,11.15,92.0,13.14,7.29
7336,5,8,18.7,138.0,17.25,7.65
7337,2,6,9.67,88.0,14.67,7.35
7338,0,10,14.89,214.0,21.4,4.78
7339,0,10,20.5,165.0,16.5,7.24
7340,1,7,6.81,57.0,8.14,7.37
7341,2,7,10.09,100.0,14.29,6.67
7342,1,9,15.01,202.0,22.44,5.71
7343,4,8,7.74,68.0,8.5,7.16
7344,7,6,6.71,110.0,18.33,5.21
7345,1,8,12.12,103.0,12.88,8.46
7346,0,7,14.56,159.0,22.71,6.17
7347,0,11,13.0,131.0,11.91,6.07
7348,1,6,7.54,65.0,10.83,7.14
7349,2,7,7.3,75.0,10.71,5.92
7350,13,4,2.55,34.0,8.5,6.03
7351,0,13,20.49,166.0,12.77,7.9
7352,23,5,6.37,67.0,13.4,6.26
7353,4,7,8.54,63.0,9.0,7.71
7354,1,8,11.59,133.0,16.62,5.27
7355,1,4,6.08,42.0,10.5,8.88
7356,5,1,0.73,19.0,19.0,2.31
7357,1,14,28.77,256.0,18.29,7.1
7358,3,9,30.67,286.0,31.78,6.68
7359,7,12,18.59,166.0,13.83,6.8
7360,5,8,16.88,166.0,20.75,6.11
7361,2,9,11.19,115.0,12.78,6.35
7362,3,4,6.11,53.0,13.25,6.87
7363,6,10,12.12,163.0,16.3,5.26
7364,2,2,3.68,30.0,15.0,7.42
7365,2,10,14.73,145.0,14.5,6.24
7366,1,12,20.6,220.0,18.33,7.22
7367,7,9,9.04,77.0,8.56,7.27
7368,1,12,12.37,107.0,8.92,7.06
7369,1,7,10.89,103.0,14.71,7.4
7370,9,4,9.33,82.0,20.5,6.78
7371,11,3,3.81,34.0,11.33,7.37
7372,0,9,20.35,188.0,20.89,6.22
7373,2,8,11.6,122.0,15.25,7.04
7374,1,7,7.77,128.0,18.29,5.67
7375,7,4,8.88,89.0,22.25,6.3
7376,4,19,35.47,295.0,15.53,7.16
7377,2,13,16.19,166.0,12.77,6.27
7378,0,14,22.99,256.0,18.29,6.17
7379,3,6,7.68,66.0,11.0,8.06
7380,16,8,8.76,83.0,10.38,6.48
7381,1,10,14.72,138.0,13.8,6.3
7382,0,10,19.5,176.0,17.6,6.54
7383,9,8,15.84,153.0,19.12,7.74
7384,1,6,11.56,124.0,20.67,6.5
7385,27,2,3.39,74.0,37.0,2.84
7386,5,14,28.23,232.0,16.57,6.86
7387,0,6,12.54,198.0,33.0,5.78
7388,6,15,14.25,183.0,12.2,6.03
7389,1,6,6.63,77.0,12.83,5.34
7390,8,2,6.47,65.0,32.5,6.82
7391,1,8,8.76,114.0,14.25,4.96
7392,0,11,13.4,194.0,17.64,6.32
7393,0,5,6.36,76.0,15.2,4.9
7394,2,13,12.7,123.0,9.46,6.77
7395,3,5,5.3,110.0,22.0,4.19
7396,1,13,15.58,277.0,21.31,5.7
7397,0,4,4.45,44.0,11.0,6.26
7398,0,5,12.12,131.0,26.2,5.67
7399,0,9,22.08,232.0,25.78,6.19
7400,1,14,18.83,235.0,16.79,7.27
7401,4,5,8.82,86.0,17.2,6.84
7402,1,7,11.04,99.0,14.14,6.62
7403,1,11,15.43,228.0,20.73,6.84
7404,10,4,3.24,28.0,7.0,6.7
7405,2,7,8.39,78.0,11.14,6.48
7406,2,10,10.37,140.0,14.0,5.7
7407,19,2,2.06,18.0,9.0,6.88
7408,2,14,23.04,184.0,13.14,7.42
7409,25,4,7.95,55.0,13.75,8.77
7410,5,10,15.57,135.0,13.5,6.51
7411,0,17,32.03,267.0,15.71,6.97
7412,11,6,8.26,69.0,11.5,7.31
7413,6,4,7.84,45.0,11.25,9.67
7414,2,8,10.82,111.0,13.88,5.93
7416,18,5,9.2,77.0,15.4,7.29
7417,5,11,19.63,240.0,21.82,7.2
7418,0,10,10.95,137.0,13.7,4.91
7419,1,11,18.32,196.0,17.82,6.89
7420,18,2,3.11,32.0,16.0,5.68
7421,20,5,11.98,92.0,18.4,7.41
7422,2,6,4.48,40.0,6.67,7.54
7423,2,12,19.82,176.0,14.67,7.24
7424,2,9,22.43,197.0,21.89,6.57
7425,0,16,29.35,255.0,15.94,8.31
7426,3,8,11.74,217.0,27.12,7.56
7427,0,9,8.18,90.0,10.0,5.46
7428,13,3,4.44,55.0,18.33,5.53
7429,0,4,3.59,48.0,12.0,5.36
7430,4,10,15.53,163.0,16.3,5.69
7431,6,5,9.61,124.0,24.8,5.23
7432,6,10,17.9,224.0,22.4,6.92
7433,12,9,21.46,159.0,17.67,8.07
7434,7,4,10.27,159.0,39.75,5.75
7435,4,9,19.2,211.0,23.44,6.2
7436,1,13,20.12,172.0,13.23,7.09
7437,0,16,23.95,328.0,20.5,7.5
7438,20,2,1.25,14.0,7.0,5.55
7439,1,5,5.98,104.0,20.8,4.92
7440,17,5,15.08,159.0,31.8,5.89
7441,2,7,16.4,130.0,18.57,8.18
7442,0,9,10.5,133.0,14.78,5.94
7443,8,5,7.33,67.0,13.4,6.41
7444,2,4,7.18,84.0,21.0,6.24
7445,14,4,7.83,50.0,12.5,9.12
7446,0,13,19.09,143.0,11.0,7.89
7447,0,7,20.73,174.0,24.86,7.07
7448,0,8,13.89,119.0,14.88,7.12
7449,1,10,15.05,201.0,20.1,6.16
7450,0,10,13.48,135.0,13.5,6.42
7451,0,5,10.12,71.0,14.2,10.41
7452,1,9,20.43,173.0,19.22,6.57
7453,0,12,14.21,141.0,11.75,7.16
7454,0,8,7.99,130.0,16.25,5.65
7455,23,9,9.77,111.0,12.33,5.29
7456,1,9,14.05,159.0,17.67,6.52
7457,1,1,0.74,8.0,8.0,5.58
7458,3,6,24.23,254.0,42.33,6.14
7459,4,7,14.36,154.0,22.0,5.47
7460,11,8,14.34,133.0,16.62,6.39
7461,3,6,9.1,108.0,18.0,5.81
7462,13,7,18.27,139.0,19.86,8.3
7463,0,6,6.61,52.0,8.67,8.23
7464,3,7,10.98,77.0,11.0,8.26
7465,0,9,17.2,160.0,17.78,7.88
7466,3,5,5.88,42.0,8.4,8.04
7467,13,5,9.67,111.0,22.2,6.1
7468,8,9,8.5,117.0,13.0,6.44
7469,0,9,16.21,143.0,15.89,8.4
7470,4,6,8.96,94.0,15.67,6.32
7471,0,8,11.38,101.0,12.62,6.96
7472,12,8,21.06,235.0,29.38,6.7
7473,2,7,12.4,149.0,21.29,6.52
7474,1,5,8.79,63.0,12.6,8.54
7475,0,21,26.73,287.0,13.67,6.66
7476,2,3,3.55,30.0,10.0,7.0
7477,0,6,10.09,83.0,13.83,8.21
7478,5,8,20.74,171.0,21.38,6.25
7479,3,9,14.36,118.0,13.11,7.61
7480,4,11,13.88,132.0,12.0,6.52
7481,0,6,9.15,75.0,12.5,7.82
7482,9,6,11.69,86.0,14.33,8.49
7483,2,7,8.49,136.0,19.43,5.16
7484,1,9,15.82,221.0,24.56,5.82
7485,2,9,11.13,171.0,19.0,5.15
7486,0,1,1.18,8.0,8.0,8.87
7487,1,4,5.71,129.0,32.25,5.29
7488,9,8,7.1,75.0,9.38,6.12
7489,2,5,10.9,80.0,16.0,7.89
7490,0,10,17.66,145.0,14.5,7.36
7491,0,15,23.59,224.0,14.93,6.55
7492,14,6,5.19,101.0,16.83,5.49
7493,10,11,11.14,136.0,12.36,7.4
7494,0,14,22.63,337.0,24.07,6.49
7495,14,3,7.54,59.0,19.67,8.39
7496,5,10,13.62,142.0,14.2,6.72
7497,5,3,2.42,21.0,7.0,6.88
7498,0,9,17.48,132.0,14.67,7.95
7499,2,13,22.93,193.0,14.85,7.31
7500,3,9,12.71,110.0,12.22,6.7
7501,2,8,11.42,162.0,20.25,6.49
7502,0,16,24.3,244.0,15.25,5.51
7503,0,8,14.39,111.0,13.88,7.63
7504,4,7,7.65,64.0,9.14,7.53
7505,13,4,6.33,74.0,18.5,6.1
7506,0,9,11.42,115.0,12.78,5.89
7507,2,6,7.75,162.0,27.0,3.7
7508,0,9,24.09,266.0,29.56,6.35
7509,10,7,11.39,81.0,11.57,9.15
7510,7,8,7.87,69.0,8.62,6.86
7511,10,5,7.59,59.0,11.8,7.37
7512,3,13,19.8,219.0,16.85,6.82
7513,8,7,23.43,198.0,28.29,5.9
7514,10,3,9.55,88.0,29.33,8.02
7515,0,11,12.31,146.0,13.27,5.94
7516,0,7,6.69,65.0,9.29,6.76
7517,1,10,15.97,150.0,15.0,6.25
7518,2,13,20.36,220.0,16.92,6.09
7519,0,2,1.22,14.0,7.0,5.36
7520,14,3,4.56,58.0,19.33,5.64
7521,0,5,4.43,86.0,17.2,7.0
7522,8,7,8.25,77.0,11.0,7.12
7523,8,4,8.06,67.0,16.75,6.86
7524,4,8,15.17,178.0,22.25,6.53
7525,10,2,3.85,23.0,11.5,10.34
7526,11,3,4.44,83.0,27.67,5.6
7527,30,1,0.44,5.0,5.0,5.28
7528,1,12,11.21,116.0,9.67,6.69
7529,1,15,23.4,210.0,14.0,6.74
7530,6,7,13.77,117.0,16.71,6.84
7531,2,14,22.44,221.0,15.79,6.79
7532,0,14,11.52,148.0,10.57,6.09
7533,0,6,9.17,99.0,16.5,5.78
7534,12,7,13.58,126.0,18.0,6.44
7535,0,12,30.29,311.0,25.92,6.21
7536,6,5,5.56,44.0,8.8,7.7
7537,5,9,18.02,226.0,25.11,3.95
7538,27,2,4.83,39.0,19.5,6.73
7539,3,6,8.0,64.0,10.67,7.52
7540,12,7,9.7,126.0,18.0,4.79
7541,2,5,7.58,69.0,13.8,6.73
7542,3,8,7.48,187.0,23.38,4.95
7543,5,11,12.31,118.0,10.73,6.88
7544,9,5,21.05,231.0,46.2,5.72
7545,2,7,10.86,112.0,16.0,6.82
7546,4,13,18.02,231.0,17.77,5.88
7547,10,7,10.96,188.0,26.86,6.05
7548,10,8,12.25,134.0,16.75,5.62
7549,8,8,12.13,112.0,14.0,7.23
7550,3,18,27.42,282.0,15.67,6.77
7551,5,4,11.45,82.0,20.5,7.19
7552,1,11,14.64,161.0,14.64,5.87
7553,2,13,15.61,325.0,25.0,5.91
7554,0,3,3.96,70.0,23.33,6.9
7555,0,5,3.03,103.0,20.6,3.04
7556,14,9,12.12,174.0,19.33,4.59
7557,10,3,4.39,54.0,18.0,4.91
7558,2,4,7.95,91.0,22.75,5.9
7559,0,14,26.81,250.0,17.86,6.82
7560,16,3,2.78,30.0,10.0,5.67
7561,0,6,17.08,185.0,30.83,6.92
7562,0,9,16.1,204.0,22.67,6.14
7563,0,5,3.79,149.0,29.8,3.3
7564,6,10,12.97,114.0,11.4,7.62
7565,9,9,32.33,270.0,30.0,6.72
7566,5,5,5.94,55.0,11.0,6.32
7567,6,4,4.05,33.0,8.25,8.08
7568,3,10,10.78,113.0,11.3,6.0
