userid,recency(day),frequency(次),total_distance(km),total_duration(min),avg_duration(min),avg_speed(km/h)
1439,14,2,1.62,14.0,7.0,6.22
1440,0,11,11.36,117.0,10.64,5.7
1441,9,2,2.66,21.0,10.5,7.49
1442,1,14,18.75,171.0,12.21,7.67
1443,1,8,9.56,141.0,17.62,4.93
1444,0,7,11.87,109.0,15.57,6.55
1445,0,9,26.84,230.0,25.56,7.22
1446,12,7,11.47,104.0,14.86,6.97
1447,2,3,3.79,38.0,12.67,5.68
1448,4,8,24.42,212.0,26.5,6.95
1449,0,8,24.45,193.0,24.12,7.55
1450,0,15,22.09,334.0,22.27,5.78
1451,3,9,13.33,146.0,16.22,6.24
1452,2,4,2.93,30.0,7.5,5.86
1453,26,2,0.87,9.0,4.5,5.8
1454,3,6,12.35,94.0,15.67,6.85
1455,0,15,21.16,200.0,13.33,6.53
1456,5,7,10.35,157.0,22.43,6.22
1457,0,10,15.57,189.0,18.9,6.76
1458,2,8,11.39,94.0,11.75,7.19
1459,1,9,12.99,105.0,11.67,8.29
1460,0,6,7.53,66.0,11.0,7.15
1461,7,7,12.01,103.0,14.71,8.21
1462,6,6,5.22,55.0,9.17,6.04
1463,29,1,1.52,17.0,17.0,5.37
1464,0,11,14.38,164.0,14.91,6.85
1465,5,9,12.61,112.0,12.44,7.17
1466,6,2,0.73,23.0,11.5,6.24
1467,2,10,13.57,149.0,14.9,7.21
1468,10,10,13.6,117.0,11.7,7.96
1469,1,12,14.28,194.0,16.17,6.1
1470,5,5,3.43,45.0,9.0,5.6
1471,2,9,17.4,169.0,18.78,6.92
1473,4,6,6.34,75.0,12.5,6.48
1474,5,6,8.28,83.0,13.83,5.75
1475,3,13,19.1,193.0,14.85,6.9
1476,5,5,7.42,72.0,14.4,6.93
1477,0,3,4.66,38.0,12.67,7.38
1478,0,10,8.97,91.0,9.1,7.44
1479,2,5,6.18,58.0,11.6,6.62
1480,17,5,6.18,81.0,16.2,6.12
1481,2,7,8.5,106.0,15.14,5.95
1482,7,11,11.59,190.0,17.27,7.19
1483,3,9,16.05,146.0,16.22,7.32
1484,2,3,5.24,50.0,16.67,6.67
1485,1,6,6.16,56.0,9.33,7.68
1486,0,3,1.87,62.0,20.67,3.54
1487,0,2,2.73,21.0,10.5,7.95
1488,10,7,7.82,62.0,8.86,7.96
1489,3,14,23.62,226.0,16.14,6.39
1490,14,4,9.03,57.0,14.25,8.52
1491,1,4,2.64,30.0,7.5,6.32
1492,2,11,28.11,413.0,37.55,7.03
1493,0,6,4.78,111.0,18.5,4.95
1494,1,11,11.65,254.0,23.09,5.7
1495,14,1,1.44,16.0,16.0,5.39
1496,2,10,10.67,206.0,20.6,6.66
1497,7,8,14.62,154.0,19.25,6.91
1498,2,2,2.22,18.0,9.0,7.82
1499,0,12,17.17,220.0,18.33,6.29
1500,11,4,5.42,45.0,11.25,7.4
1501,2,1,1.38,15.0,15.0,5.52
1502,4,9,17.25,225.0,25.0,5.17
1503,19,2,1.1,8.0,4.0,8.28
1504,9,2,3.43,20.0,10.0,10.3
1505,0,5,6.61,42.0,8.4,9.18
1506,5,6,5.28,77.0,12.83,6.25
1507,2,10,21.58,326.0,32.6,6.13
1508,11,11,17.93,170.0,15.45,6.9
1509,2,5,4.48,44.0,8.8,6.28
1510,3,14,15.55,228.0,16.29,5.07
1511,1,6,6.46,63.0,10.5,6.39
1512,14,1,0.89,9.0,9.0,5.95
1513,6,9,16.19,153.0,17.0,6.79
1514,15,3,5.17,38.0,12.67,8.08
1515,1,14,17.17,302.0,21.57,5.42
1516,1,11,13.97,119.0,10.82,7.55
1517,17,4,5.52,48.0,12.0,7.2
1518,2,10,14.28,154.0,15.4,6.33
1519,0,5,5.05,67.0,13.4,5.36
1520,4,8,14.93,124.0,15.5,6.6
1521,8,6,6.16,167.0,27.83,5.07
1522,6,5,12.2,132.0,26.4,5.97
1523,5,8,17.16,163.0,20.38,6.88
1525,14,2,2.17,22.0,11.0,6.57
1526,2,15,25.08,221.0,14.73,7.28
1527,0,7,10.86,132.0,18.86,5.83
1528,14,4,4.87,47.0,11.75,6.25
1529,1,13,19.24,150.0,11.54,7.52
1530,14,6,12.08,85.0,14.17,8.4
1531,2,9,15.89,138.0,15.33,6.41
1532,1,8,12.8,124.0,15.5,6.34
1533,15,6,8.49,80.0,13.33,6.78
1534,1,11,11.85,145.0,13.18,5.58
1535,16,3,2.71,18.0,6.0,9.44
1536,2,8,15.24,142.0,17.75,7.18
1537,6,8,11.99,127.0,15.88,6.27
1538,4,11,20.66,200.0,18.18,5.87
1539,2,9,10.82,101.0,11.22,7.04
1540,5,4,3.99,38.0,9.5,6.23
1542,5,9,15.83,123.0,13.67,7.55
1543,1,10,13.99,154.0,15.4,7.23
1544,16,7,7.81,82.0,11.71,5.98
1545,4,1,0.44,36.0,36.0,0.73
1546,12,10,12.45,104.0,10.4,7.39
1547,28,3,2.45,29.0,9.67,5.2
1548,4,8,13.65,122.0,15.25,6.77
1549,20,1,0.4,4.0,4.0,5.94
1550,2,5,6.26,49.0,9.8,8.7
1551,1,3,3.27,27.0,9.0,7.55
1552,2,4,4.81,55.0,13.75,6.65
1553,1,1,1.11,7.0,7.0,9.55
1554,3,4,3.23,38.0,9.5,5.87
1555,14,8,7.36,77.0,9.62,5.63
1556,4,12,26.57,222.0,18.5,7.2
1557,4,8,22.41,256.0,32.0,7.07
1558,5,4,15.42,103.0,25.75,9.41
1559,0,8,10.34,115.0,14.38,7.11
1560,4,11,14.82,180.0,16.36,6.09
1561,1,12,14.01,128.0,10.67,6.63
1562,2,11,12.88,127.0,11.55,6.38
1563,0,8,10.3,83.0,10.38,7.47
1564,1,8,19.74,187.0,23.38,7.82
1565,0,7,9.23,87.0,12.43,6.98
1566,19,2,1.21,10.0,5.0,7.5
1567,12,4,9.65,71.0,17.75,8.21
1568,0,7,20.17,295.0,42.14,5.46
1569,4,7,6.72,119.0,17.0,5.35
1570,7,8,14.82,171.0,21.38,5.6
1571,10,10,11.41,175.0,17.5,5.78
1572,0,5,7.6,60.0,12.0,7.56
1573,2,9,15.89,223.0,24.78,5.28
1574,3,5,7.61,91.0,18.2,5.34
1576,2,7,7.99,103.0,14.71,5.88
1577,0,7,13.29,109.0,15.57,7.64
1578,1,5,3.3,55.0,11.0,4.83
1579,1,9,11.36,147.0,16.33,6.37
1580,7,10,15.32,255.0,25.5,5.49
1581,3,11,24.99,309.0,28.09,5.44
1582,4,10,20.01,210.0,21.0,6.74
1583,8,5,5.24,44.0,8.8,7.32
1584,5,3,2.44,20.0,6.67,6.85
1585,0,5,5.27,78.0,15.6,4.64
1586,0,9,10.5,111.0,12.33,6.01
1587,0,9,12.92,115.0,12.78,7.26
1589,0,5,8.35,144.0,28.8,4.2
1590,0,7,20.07,198.0,28.29,5.73
1591,1,1,3.88,43.0,43.0,5.42
