userid,recency(day),frequency(次),total_distance(km),R_SC,F_SC,M_SC,cluster,level
13901,3,4,3.25,-0.2168445457661492,-0.590922324999072,-0.9602468926800952,2,A
13902,4,1,1.44,-0.0271364689618224,-1.4539947293729687,-1.2415499012939517,2,A
13903,4,3,13.75,-0.0271364689618224,-0.8786131264570376,0.6716213893339881,2,A
13904,6,2,12.14,0.3522796846468311,-1.1663039279150031,0.4214015860918287,2,A
13905,2,5,11.14,-0.406552622570476,-0.3032315235411064,0.2659855592333446,2,A
13906,7,3,7.7,0.5419877614511579,-0.8786131264570376,-0.2686455731598409,2,A
13907,0,4,17.97,-0.7859687761791295,-0.590922324999072,1.3274770226767911,0,S
13908,3,5,5.82,-0.2168445457661492,-0.3032315235411064,-0.5608277036537911,2,A
13909,0,5,5.33,-0.7859687761791295,-0.3032315235411064,-0.6369815568144483,2,A
13910,11,2,2.67,1.300820068668465,-1.1663039279150031,-1.0503881882580162,1,B
13911,0,6,10.91,-0.7859687761791295,-0.0155407220831408,0.2302398730558931,2,A
13912,6,4,4.52,0.3522796846468311,-0.590922324999072,-0.7628685385698206,2,A
13913,0,2,2.25,-0.7859687761791295,-1.1663039279150031,-1.1156629195385794,2,A
13915,1,4,4.29,-0.5962606993748027,-0.590922324999072,-0.7986142247472718,2,A
13916,10,1,0.52,1.1111119918641383,-1.4539947293729687,-1.3845326460037573,1,B
13917,0,8,16.02,-0.7859687761791295,0.5598408808327904,1.024415770302747,0,S
13918,0,6,6.4,-0.7859687761791295,-0.0155407220831408,-0.4706864080758702,2,A
13919,0,4,2.13,-0.7859687761791295,-0.590922324999072,-1.1343128427615976,2,A
13920,2,7,10.17,-0.406552622570476,0.2721500793748247,0.1152320131806148,2,A
13921,0,6,10.95,-0.7859687761791295,-0.0155407220831408,0.2364565141302324,2,A
13922,2,2,2.47,-0.406552622570476,-1.1663039279150031,-1.081471393629713,2,A
13923,2,6,7.01,-0.406552622570476,-0.0155407220831408,-0.375882631692195,2,A
13924,8,3,3.86,0.7316958382554847,-0.8786131264570376,-0.8654431162964201,2,A
13925,3,5,6.15,-0.2168445457661492,-0.3032315235411064,-0.5095404147904913,2,A
13926,2,5,9.66,-0.406552622570476,-0.3032315235411064,0.035969839482788,2,A
13927,0,2,3.95,-0.7859687761791295,-1.1663039279150031,-0.8514556738791564,2,A
13928,2,3,4.68,-0.406552622570476,-0.8786131264570376,-0.7380019742724631,2,A
